Arrival Rate;T1 Queue;T1 Queue ConfInt;T1 Service;T1 Service ConfInt;T1 System;T1 System ConfInt;T1 Waiting;T1 Waiting ConfInt;T1 Throughput;T1 Throughput ConfInt;T1 RespTime;T1 RespTime ConfInt;T1 Stability Check;T1 Queue;T1 Queue ConfInt;T1 Service;T1 Service ConfInt;T1 System;T1 System ConfInt;T1 Waiting;T1 Waiting ConfInt;T1 Throughput;T1 Throughput ConfInt;T1 RespTime;T1 RespTime ConfInt;T1 Stability Check;T1 Queue;T1 Queue ConfInt;T1 Service;T1 Service ConfInt;T1 System;T1 System ConfInt;T1 Waiting;T1 Waiting ConfInt;T1 Throughput;T1 Throughput ConfInt;T1 RespTime;T1 RespTime ConfInt;T1 Stability Check;T50 Queue;T50 Queue ConfInt;T50 Service;T50 Service ConfInt;T50 System;T50 System ConfInt;T50 Waiting;T50 Waiting ConfInt;T50 Throughput;T50 Throughput ConfInt;T50 RespTime;T50 RespTime ConfInt;T50 Stability Check;Wasted Servers;Wasted Servers ConfInt;Utilisation;Utilisation ConfInt;Queue Total;Queue Total ConfInt;WaitTime Total;WaitTime Total ConfInt;RespTime Total;RespTime Total ConfInt;FIFO Violations;FIFO Violations ConfInt;Run Duration;Run Duration ConfInt;
2.71584;0.894639;[0.894101, 0.895177];0.543117;[0.543106, 0.543128];1.43776;[1.43721, 1.4383];0.470691;[0.470408, 0.470974];1.90069;[1.90067, 1.90072];0.756438;[0.756154, 0.756721];0;0.000129799;[0.000129353, 0.000130246];0.812761;[0.811652, 0.81387];0.812891;[0.811781, 0.814001];0.476738;[0.475205, 0.478271];0.000272264;[0.000271934, 0.000272594];2986.34;[2982.58, 2990.09];0;0.127848;[0.127772, 0.127924];0.814644;[0.814608, 0.814681];0.942492;[0.94238, 0.942605];0.470909;[0.470631, 0.471188];0.271491;[0.27148, 0.271502];3.47154;[3.47122, 3.47186];0;0.478962;[0.478706, 0.479219];0.543157;[0.543134, 0.54318];1.02212;[1.02184, 1.0224];0.88187;[0.881398, 0.882342];0.543121;[0.543105, 0.543138];1.88193;[1.88144, 1.88242];0;70.6716;[70.67, 70.6733];0.293284;[0.293267, 0.2933];1.50158;[1.50071, 1.50245];0.55295;[0.552631, 0.553269];1.55225;[1.55157, 1.55294];0;[0, 0];59.175;[59.1553, 59.1947]
2.98741;1.39485;[1.39393, 1.39577];0.597502;[0.59749, 0.597514];1.99235;[1.99142, 1.99329];0.667077;[0.666636, 0.667517];2.09099;[2.09096, 2.09102];0.952827;[0.952386, 0.953268];0;0.000202127;[0.000201398, 0.000202857];0.902842;[0.901153, 0.90453];0.903044;[0.901355, 0.904733];0.673699;[0.671524, 0.675873];0.000299977;[0.000299574, 0.000300381];3010.27;[3006.59, 3013.96];0;0.199335;[0.199205, 0.199464];0.896309;[0.896251, 0.896366];1.09564;[1.09546, 1.09583];0.667328;[0.666898, 0.667757];0.298706;[0.298694, 0.298718];3.66797;[3.66752, 3.66841];0;0.68033;[0.67992, 0.680739];0.597471;[0.597445, 0.597497];1.2778;[1.27736, 1.27824];1.13876;[1.13808, 1.13945];0.597428;[0.59741, 0.597445];2.13884;[2.13815, 2.13953];0;67.7298;[67.7276, 67.732];0.322702;[0.32268, 0.322724];2.27472;[2.27326, 2.27618];0.761431;[0.760944, 0.761918];1.76367;[1.76267, 1.76468];0;[0, 0];60;[60, 60]
3.25898;2.1347;[2.13303, 2.13638];0.651849;[0.651835, 0.651863];2.78655;[2.78486, 2.78824];0.935912;[0.935176, 0.936649];2.28088;[2.28085, 2.28092];1.2217;[1.22096, 1.22244];0;0.000302876;[0.000302015, 0.000303736];0.975207;[0.973179, 0.977234];0.975509;[0.973481, 0.977538];0.932732;[0.930436, 0.935027];0.000324683;[0.0003243, 0.000325066];3004.1;[2999.69, 3008.51];0;0.304947;[0.3047, 0.305194];0.977855;[0.977804, 0.977906];1.2828;[1.2825, 1.2831];0.93566;[0.934904, 0.936416];0.325917;[0.325905, 0.325928];3.93598;[3.9352, 3.93676];0;0.955679;[0.955001, 0.956356];0.651756;[0.651727, 0.651784];1.60743;[1.60673, 1.60814];1.46642;[1.46538, 1.46746];0.65171;[0.651687, 0.651733];2.46649;[2.46544, 2.46754];0;64.8073;[64.805, 64.8096];0.351927;[0.351904, 0.35195];3.39563;[3.39304, 3.39823];1.04198;[1.04118, 1.04278];2.04131;[2.03996, 2.04267];0;[0, 0];61;[61, 61]
3.53056;3.28188;[3.27963, 3.28413];0.706108;[0.706093, 0.706123];3.98799;[3.98573, 3.99025];1.32819;[1.32728, 1.3291];2.47094;[2.4709, 2.47098];1.61396;[1.61305, 1.61487];0;0.000470801;[0.000469478, 0.000472123];1.06674;[1.06457, 1.06891];1.06721;[1.06504, 1.06939];1.32992;[1.32676, 1.33307];0.000353959;[0.000353524, 0.000354395];3015.25;[3010.04, 3020.46];0;0.468967;[0.468644, 0.46929];1.05899;[1.05893, 1.05904];1.52796;[1.52758, 1.52833];1.32842;[1.3275, 1.32933];0.353027;[0.353014, 0.35304];4.32815;[4.32722, 4.32909];0;1.35534;[1.3545, 1.35619];0.706133;[0.706105, 0.706161];2.06148;[2.0606, 2.06235];1.9195;[1.91831, 1.92069];0.706094;[0.706069, 0.706118];2.91955;[2.91836, 2.92074];0;61.8615;[61.8591, 61.864];0.381385;[0.38136, 0.381409];5.10666;[5.10325, 5.11007];1.44648;[1.44551, 1.44744];2.44862;[2.44711, 2.45012];0;[0, 0];61.5;[61.4741, 61.5259]
3.80213;5.09604;[5.09247, 5.0996];0.760343;[0.760325, 0.760361];5.85638;[5.8528, 5.85996];1.91508;[1.91374, 1.91641];2.66101;[2.66097, 2.66105];2.20081;[2.19947, 2.20215];0;0.000726116;[0.00072362, 0.000728612];1.14098;[1.13895, 1.14301];1.14171;[1.13968, 1.14374];1.90704;[1.90184, 1.91224];0.000380541;[0.000380094, 0.000380987];3000.06;[2996.45, 3003.66];0;0.728061;[0.727571, 0.728551];1.14063;[1.14055, 1.14071];1.86869;[1.86812, 1.86926];1.91487;[1.91358, 1.91616];0.380214;[0.380197, 0.380232];4.91483;[4.9135, 4.91617];0;1.95182;[1.9506, 1.95304];0.760471;[0.760435, 0.760507];2.71229;[2.71103, 2.71355];2.56669;[2.5651, 2.56829];0.76044;[0.760417, 0.760463];3.56673;[3.56513, 3.56834];0;58.9345;[58.932, 58.9371];0.410655;[0.410629, 0.41068];7.77664;[7.77137, 7.78191];2.04538;[2.044, 2.04677];3.04548;[3.04364, 3.04733];0;[0, 0];62;[62, 62]
4.07371;8.1693;[8.16433, 8.17427];0.814754;[0.814734, 0.814774];8.98405;[8.97907, 8.98904];2.86523;[2.86349, 2.86697];2.85118;[2.85114, 2.85123];3.15099;[3.14925, 3.15273];0;0.0011738;[0.00117084, 0.00117675];1.22058;[1.2182, 1.22295];1.22175;[1.21937, 1.22413];2.8922;[2.88753, 2.89687];0.00040573;[0.000405139, 0.00040632];3011.15;[3007.47, 3014.82];0;1.16696;[1.16624, 1.16768];1.22196;[1.2219, 1.22203];2.38893;[2.38814, 2.38971];2.8645;[2.86272, 2.86629];0.407388;[0.407373, 0.407402];5.86402;[5.8622, 5.86583];0;2.91516;[2.91354, 2.91678];0.814793;[0.81476, 0.814825];3.72995;[3.7283, 3.7316];3.57795;[3.57597, 3.57992];0.814757;[0.814739, 0.814775];4.57799;[4.57601, 4.57997];0;56.0031;[56.0004, 56.0057];0.439969;[0.439943, 0.439996];12.2526;[12.2453, 12.2599];3.00771;[3.00592, 3.00949];4.0073;[4.00509, 4.00951];0;[0, 0];62.85;[62.8315, 62.8685]
4.34528;14.0741;[14.0611, 14.0871];0.869065;[0.86904, 0.869089];14.9432;[14.9302, 14.9562];4.62788;[4.62363, 4.63213];3.04115;[3.0411, 3.04121];4.91365;[4.90939, 4.9179];0;0.00200898;[0.00200302, 0.00201494];1.30634;[1.30392, 1.30875];1.30835;[1.30593, 1.31077];4.6368;[4.62682, 4.64678];0.00043307;[0.000432521, 0.000433619];3021.14;[3016.95, 3025.33];0;2.01078;[2.00895, 2.01261];1.30338;[1.30331, 1.30346];3.31416;[3.31225, 3.31607];4.62804;[4.62381, 4.63227];0.434478;[0.434461, 0.434494];7.62793;[7.62376, 7.63209];0;4.69332;[4.68927, 4.69738];0.869119;[0.869076, 0.869162];5.56244;[5.55834, 5.56654];5.40014;[5.39554, 5.40475];0.869108;[0.869082, 0.869134];6.40016;[6.39553, 6.40478];0;53.0653;[53.062, 53.0685];0.469347;[0.469315, 0.46938];20.7802;[20.7613, 20.7991];4.78236;[4.77804, 4.78668];5.78299;[5.77836, 5.78762];0;[0, 0];63.05;[63.0387, 63.0613]
4.61685;28.4931;[28.4519, 28.5344];0.923434;[0.923413, 0.923455];29.4166;[29.3753, 29.4578];8.81847;[8.80568, 8.83125];3.23108;[3.23103, 3.23112];9.10427;[9.09148, 9.11705];0;0.00404737;[0.00403577, 0.00405896];1.39023;[1.38749, 1.39296];1.39427;[1.39153, 1.39702];8.74391;[8.725, 8.76282];0.000462725;[0.000462107, 0.000463343];3013.02;[3008.94, 3017.1];0;4.07201;[4.06611, 4.07792];1.38517;[1.38509, 1.38526];5.45719;[5.45119, 5.46318];8.81951;[8.80669, 8.83233];0.461706;[0.461686, 0.461726];11.8196;[11.8068, 11.8325];0;8.91183;[8.8996, 8.92407];0.923477;[0.923435, 0.92352];9.83531;[9.82304, 9.84759];9.65121;[9.63808, 9.66434];0.923385;[0.923362, 0.923408];10.6513;[10.6382, 10.6645];0;50.1273;[50.1234, 50.1312];0.498727;[0.498688, 0.498766];41.481;[41.4216, 41.5404];8.98512;[8.97227, 8.99798];9.98635;[9.97311, 9.9996];0;[0, 0];63.675;[63.6507, 63.6993]
4.88843;100.39;[100.145, 100.635];0.977615;[0.97759, 0.97764];101.367;[101.122, 101.612];29.3427;[29.2711, 29.4143];3.42129;[3.42124, 3.42133];29.6284;[29.5568, 29.7];0;0.014386;[0.014327, 0.014445];1.4747;[1.47227, 1.47713];1.48909;[1.4866, 1.49158];29.2857;[29.193, 29.3784];0.000490799;[0.000490085, 0.000491512];3034.38;[3030.93, 3037.83];0;14.3418;[14.3064, 14.3772];1.46641;[1.4663, 1.46651];15.8082;[15.7727, 15.8437];29.3408;[29.2689, 29.4127];0.488793;[0.488774, 0.488812];32.3409;[32.2689, 32.4128];0;29.5661;[29.4954, 29.6367];0.97782;[0.97778, 0.97786];30.5439;[30.4732, 30.6146];30.2379;[30.1659, 30.3099];0.977775;[0.977747, 0.977803];31.238;[31.1659, 31.31];0;47.1903;[47.1868, 47.1937];0.528097;[0.528063, 0.528132];144.312;[143.961, 144.663];29.5216;[29.4498, 29.5933];30.5232;[30.4512, 30.5953];0;[0, 0];64.1;[64.0844, 64.1156]
5.16;1.06749e+06;[1.0364e+06, 1.09859e+06];1.0267;[1.02661, 1.02679];1.06749e+06;[1.0364e+06, 1.09859e+06];297170;[288506, 305833];3.59261;[3.59231, 3.59292];297170;[288506, 305834];0;151.982;[147.54, 156.425];1.53531;[1.53293, 1.53769];153.518;[149.073, 157.962];297359;[288672, 306046];0.000510929;[0.000510373, 0.000511485];300364;[291677, 309051];0;152514;[148073, 156956];1.54019;[1.54002, 1.54037];152516;[148074, 156958];297172;[288508, 305836];0.513345;[0.513293, 0.513397];297175;[288511, 305839];0;305047;[296160, 313934];1.02677;[1.02669, 1.02685];305048;[296161, 313935];297169;[288505, 305832];1.02662;[1.02654, 1.02671];297170;[288506, 305833];0;44.5592;[44.5561, 44.5624];0.554408;[0.554376, 0.554439];1.5252e+06;[1.48078e+06, 1.56963e+06];297170;[288506, 305833];297171;[288507, 305834];0;[0, 0];66.1;[66.0676, 66.1324]
