Arrival Rate;T1 Queue;T1 Queue ConfInt;T1 Service;T1 Service ConfInt;T1 System;T1 System ConfInt;T1 Waiting;T1 Waiting ConfInt;T1 Throughput;T1 Throughput ConfInt;T1 RespTime;T1 RespTime ConfInt;T1 Stability Check;T50 Queue;T50 Queue ConfInt;T50 Service;T50 Service ConfInt;T50 System;T50 System ConfInt;T50 Waiting;T50 Waiting ConfInt;T50 Throughput;T50 Throughput ConfInt;T50 RespTime;T50 RespTime ConfInt;T50 Stability Check;Wasted Servers;Wasted Servers ConfInt;Utilisation;Utilisation ConfInt;Queue Total;Queue Total ConfInt;WaitTime Total;WaitTime Total ConfInt;RespTime Total;RespTime Total ConfInt;FIFO Violations;FIFO Violations ConfInt;Run Duration;Run Duration ConfInt;
0.0001;0;[0, 0];8.00002e-05;[7.99983e-05, 8.00021e-05];8.00002e-05;[7.99983e-05, 8.00021e-05];0;[0, 0];7.99957e-05;[7.99944e-05, 7.99971e-05];1.00006;[1.00004, 1.00007];0;0;[0, 0];2.00011e-05;[2.00004e-05, 2.00018e-05];2.00011e-05;[2.00004e-05, 2.00018e-05];0;[0, 0];1.99986e-05;[1.99979e-05, 1.99994e-05];1.00012;[1.00009, 1.00015];0;99.9989;[99.9989, 99.9989];1.08006e-05;[1.08002e-05, 1.08009e-05];0;[0, 0];0;[0, 0];1.00007;[1.00006, 1.00008];0;[0, 0];31.225;[31.2033, 31.2467]
0.292726;0.00024698;[0.000246832, 0.000247127];0.234194;[0.23419, 0.234197];0.234441;[0.234437, 0.234445];0.00105463;[0.00105399, 0.00105526];0.234187;[0.234184, 0.23419];1.00108;[1.00107, 1.0011];0;0.000423728;[0.000423563, 0.000423893];0.0585471;[0.0585443, 0.0585498];0.0589708;[0.0589679, 0.0589737];0.00723833;[0.00723554, 0.00724112];0.0585395;[0.0585375, 0.0585415];1.00737;[1.00734, 1.0074];0;96.8385;[96.8383, 96.8386];0.0316155;[0.0316141, 0.0316168];0.000670708;[0.000670458, 0.000670957];0.00229124;[0.00229039, 0.0022921];1.00234;[1.00233, 1.00235];0;[0, 0];32.85;[32.8315, 32.8685]
0.585353;0.00233126;[0.00233043, 0.00233208];0.468312;[0.468303, 0.468321];0.470643;[0.470634, 0.470653];0.00497834;[0.0049766, 0.00498008];0.468279;[0.468273, 0.468286];1.00505;[1.00504, 1.00506];0;0.00322742;[0.00322661, 0.00322823];0.117049;[0.117045, 0.117054];0.120277;[0.120271, 0.120282];0.0275714;[0.0275648, 0.0275779];0.117057;[0.117053, 0.117061];1.02751;[1.02748, 1.02754];0;93.6792;[93.679, 93.6795];0.0632078;[0.0632054, 0.0632102];0.00555868;[0.00555728, 0.00556007];0.00949655;[0.0094942, 0.00949889];1.00954;[1.00953, 1.00955];0;[0, 0];33.625;[33.5999, 33.6501]
0.877979;0.00908598;[0.00908317, 0.00908878];0.702419;[0.702406, 0.702432];0.711505;[0.711489, 0.71152];0.012936;[0.012932, 0.01294];0.70238;[0.70237, 0.702389];1.01299;[1.01298, 1.01301];0;0.0104687;[0.0104663, 0.010471];0.175574;[0.175566, 0.175582];0.186043;[0.186032, 0.186053];0.059625;[0.0596122, 0.0596379];0.175575;[0.17557, 0.17558];1.05962;[1.05958, 1.05966];0;90.5189;[90.5185, 90.5193];0.0948112;[0.094807, 0.0948153];0.0195546;[0.0195497, 0.0195596];0.022273;[0.0222673, 0.0222786];1.02232;[1.0223, 1.02233];0;[0, 0];34.625;[34.5999, 34.6501]
1.17061;0.0245729;[0.0245673, 0.0245785];0.936466;[0.936448, 0.936484];0.961039;[0.961015, 0.961063];0.0262407;[0.0262347, 0.0262466];0.936443;[0.936431, 0.936456];1.02626;[1.02625, 1.02628];0;0.0241169;[0.0241133, 0.0241205];0.234132;[0.234123, 0.234141];0.258249;[0.258237, 0.258262];0.103018;[0.103004, 0.103033];0.234103;[0.234097, 0.23411];1.10314;[1.1031, 1.10318];0;87.3569;[87.3565, 87.3574];0.126431;[0.126426, 0.126435];0.0486898;[0.0486811, 0.0486985];0.0415958;[0.0415883, 0.0416032];1.04164;[1.04163, 1.04165];0;[0, 0];35;[35, 35]
1.46323;0.0543947;[0.0543833, 0.0544061];1.17076;[1.17073, 1.17078];1.22515;[1.22512, 1.22519];0.0464654;[0.0464556, 0.0464752];1.17065;[1.17064, 1.17067];1.04656;[1.04654, 1.04658];0;0.0462704;[0.0462633, 0.0462775];0.292637;[0.292624, 0.29265];0.338908;[0.338888, 0.338927];0.158121;[0.158099, 0.158143];0.292626;[0.292616, 0.292636];1.15816;[1.15812, 1.1582];0;84.1974;[84.1967, 84.198];0.158026;[0.15802, 0.158033];0.100665;[0.100647, 0.100683];0.0687943;[0.0687824, 0.0688063];1.06888;[1.06885, 1.0689];0;[0, 0];35.85;[35.8315, 35.8685]
1.75586;0.106099;[0.10608, 0.106119];1.40473;[1.4047, 1.40476];1.51083;[1.51078, 1.51088];0.0755334;[0.0755198, 0.0755469];1.40467;[1.40465, 1.40469];1.07558;[1.07556, 1.0756];0;0.079283;[0.0792717, 0.0792943];0.351131;[0.351117, 0.351145];0.430414;[0.430389, 0.430439];0.225788;[0.225757, 0.225819];0.351139;[0.35113, 0.351148];1.22577;[1.22571, 1.22582];0;81.0387;[81.038, 81.0394];0.189613;[0.189606, 0.18962];0.185382;[0.185353, 0.185412];0.105582;[0.105566, 0.105599];1.10561;[1.10559, 1.10564];0;[0, 0];36.025;[36.0169, 36.0331]
2.04848;0.190164;[0.190125, 0.190202];1.63894;[1.6389, 1.63898];1.8291;[1.82902, 1.82918];0.116035;[0.116012, 0.116059];1.63884;[1.63881, 1.63887];1.11609;[1.11606, 1.11613];0;0.126161;[0.126139, 0.126184];0.409658;[0.40964, 0.409676];0.535819;[0.53578, 0.535859];0.307984;[0.307935, 0.308034];0.409636;[0.409623, 0.409648];1.30804;[1.30797, 1.30811];0;77.8782;[77.8773, 77.8791];0.221218;[0.221209, 0.221227];0.316325;[0.316265, 0.316385];0.15442;[0.154391, 0.154448];1.15448;[1.15444, 1.15452];0;[0, 0];36.825;[36.8053, 36.8447]
2.34111;0.320637;[0.320588, 0.320686];1.87292;[1.87288, 1.87295];2.19355;[2.19346, 2.19364];0.1712;[0.171173, 0.171226];1.87289;[1.87286, 1.87291];1.17122;[1.17119, 1.17124];0;0.190646;[0.19062, 0.190672];0.468152;[0.468134, 0.46817];0.658798;[0.658754, 0.658842];0.407252;[0.407201, 0.407302];0.468129;[0.468115, 0.468143];1.4073;[1.40723, 1.40737];0;74.7195;[74.7186, 74.7204];0.252805;[0.252796, 0.252814];0.511283;[0.51121, 0.511357];0.218402;[0.218372, 0.218433];1.21843;[1.21839, 1.21846];0;[0, 0];37;[37, 37]
2.63374;0.518615;[0.518529, 0.518701];2.10699;[2.10696, 2.10703];2.62561;[2.62549, 2.62573];0.246143;[0.246103, 0.246184];2.10696;[2.10694, 2.10699];1.24616;[1.24612, 1.2462];0;0.278231;[0.278191, 0.27827];0.526713;[0.526692, 0.526734];0.804944;[0.804884, 0.805003];0.528245;[0.528176, 0.528315];0.526707;[0.526694, 0.52672];1.52826;[1.52817, 1.52834];0;71.5574;[71.5563, 71.5584];0.284426;[0.284416, 0.284437];0.796846;[0.796723, 0.796969];0.302561;[0.302515, 0.302607];1.30257;[1.30253, 1.30262];0;[0, 0];37.575;[37.5494, 37.6006]
